,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
23,08/03/2023 15:32:19,@YahooFinance,Yahoo Finance,RT @yfinanceplus: $TSLA shares are down about 3% so far in regular trading. https://t.co/7jSDD4iOvc https://t.co/M3xeSPBcHh,https://twitter.com/YahooFinance/status/1633490837525913600,Twitter Web App,Retweet (native),8,10
24,08/03/2023 15:31:13,@YahooFinance,Yahoo Finance,“These [weight-loss] medications are not for everyone there's been a lot of misinformation and misuse” @ww_us CEO @SimaSistani says on Sequence acquisition and new subscription drug offerings. “They are meant to be chronic weight management for complex disease.” https://t.co/H1SHPWlu2N,https://twitter.com/YahooFinance/status/1633490561746325509,Twitter Media Studio - LiveCut,New,3,4
25,08/03/2023 15:19:08,@YahooFinance,Yahoo Finance,.@Jenniferisms breaks down what to expect from Fed Chair Jerome Powell's testimony to Congress today ahead of Friday's jobs report data: https://t.co/3wh4JVbLYc,https://twitter.com/YahooFinance/status/1633487519856590851,Twitter Media Studio - LiveCut,New,2,6
26,08/03/2023 15:12:46,@YahooFinance,Yahoo Finance,U.S. job openings for the month of January beat expectations coming in at 10.8 million. https://t.co/JjKFvNtGxU,https://twitter.com/YahooFinance/status/1633485918337130497,Twitter Media Studio - LiveCut,New,2,9
27,08/03/2023 15:09:06,@YahooFinance,Yahoo Finance,Elon Musk apologizes after mocking laid-off disabled Twitter employee https://t.co/qk5ZJPeABi,https://twitter.com/YahooFinance/status/1633484997150556160,SocialFlow,New,3,14
28,08/03/2023 15:08:00,@YahooFinance,Yahoo Finance,"As Fed Chair Powell's testimonies drive U.S. Treasury yield inversions what does an inverted yield curve mean for recession forecasts?

@juleshyman and @ines_ferre break down everything yield curves in this episode of Yahoo U. https://t.co/GJiZJxME14",https://twitter.com/YahooFinance/status/1633484718640340995,Twitter Media Studio - LiveCut,New,4,6
29,08/03/2023 15:03:12,@YahooFinance,Yahoo Finance,"“What the president has really here to use is the bully pulpit — once he puts his budget forward is he going to continue to push some of those ideas?” @BudgetHawks President @MayaMacGuineas says on President Biden's budget proposal.

Full interview: https://t.co/JDq6wB3OWI",https://twitter.com/YahooFinance/status/1633483511272206337,Twitter Media Studio - LiveCut,New,6,8
30,08/03/2023 15:02:10,@YahooFinance,Yahoo Finance,LIVE: Fed Chair Jerome Powell appears before the House Financial Services Committee https://t.co/mqoctdxfQ5,https://twitter.com/YahooFinance/status/1633483250067812352,Twitter Media Studio,New,5,13
31,08/03/2023 14:53:47,@YahooFinance,Yahoo Finance,Citadel CEO Ken Griffin is reportedly in talks to establish an enterprise-wide license for ChatGPT. @DanielHowley reports on what AI adoption could hold for Wall Street firms: https://t.co/0AYzATU75E,https://twitter.com/YahooFinance/status/1633481140379025411,Twitter Media Studio - LiveCut,New,4,14
32,08/03/2023 14:51:01,@YahooFinance,Yahoo Finance,Netflix live Chris Rock special won't 'move the needle' but better move than sports: Analyst https://t.co/4s5Q8s8sbh by @alliecanal8193,https://twitter.com/YahooFinance/status/1633480443667308544,SocialFlow,New,3,4
